lanzamiento,nivelEducativo,desempeño,nivelDelCurso,estado
Winter,Alto,mal,Basic,No Deserto
Fall,Alto,buen,Basic,No Deserto
Winter,Alto,mal,Basic,No Deserto
Fall,Alto,mal,Basic,No Deserto
Spring,Alto,muy buen,Advanced,No Deserto
Summer,Alto,muy buen,Advanced,No Deserto
Winter,Alto,muy buen,Advanced,No Deserto
Spring,Alto,buen,Intermediate,No Deserto
Spring,Alto,excelente,Advanced,No Deserto
Summer,Alto,excelente,Advanced,No Deserto
Winter,Alto,excelente,Intermediate,No Deserto
Fall,Alto,excelente,Advanced,No Deserto
Spring,Alto,muy buen,Basic,No Deserto
Spring,Alto,mal,Basic,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Spring,Alto,mal,Advanced,No Deserto
Winter,Alto,mal,Advanced,No Deserto
Winter,Alto,mal,Advanced,No Deserto
Spring,Alto,muy buen,Advanced,No Deserto
Winter,Alto,muy buen,Advanced,No Deserto
Summer,Alto,buen,Advanced,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Spring,Alto,muy buen,Advanced,No Deserto
Summer,Alto,muy buen,Advanced,No Deserto
Winter,Alto,muy buen,Advanced,No Deserto
Winter,Alto,mal,Advanced,No Deserto
Fall,Alto,muy buen,Intermediate,No Deserto
Summer,Alto,excelente,Intermediate,No Deserto
Fall,Alto,excelente,Advanced,No Deserto
Summer,Alto,buen,Intermediate,No Deserto
Fall,Alto,buen,Intermediate,No Deserto
Fall,Alto,buen,Intermediate,No Deserto
Winter,Alto,mal,Intermediate,No Deserto
Summer,Alto,muy buen,Advanced,No Deserto
Fall,Alto,muy buen,Advanced,No Deserto
Summer,Alto,buen,Intermediate,No Deserto
Winter,Alto,buen,Basic,No Deserto
Fall,Alto,buen,Intermediate,No Deserto
Fall,Alto,muy buen,Basic,No Deserto
Summer,Alto,buen,Advanced,No Deserto
Winter,Medio,buen,Advanced,No Deserto
Fall,Medio,mal,Basic,No Deserto
Winter,Medio,buen,Basic,No Deserto
Fall,Medio,buen,Intermediate,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Summer,Medio,mal,Basic,No Deserto
Winter,Medio,mal,Basic,No Deserto
Fall,Medio,mal,Intermediate,No Deserto
Fall,Medio,buen,Advanced,No Deserto
Winter,Medio,buen,Advanced,No Deserto
Fall,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Intermediate,No Deserto
Winter,Medio,buen,Basic,No Deserto
Summer,Medio,buen,Basic,No Deserto
Fall,Medio,mal,Intermediate,No Deserto
Summer,Medio,buen,Basic,No Deserto
Summer,Medio,mal,Basic,No Deserto
Fall,Medio,mal,Basic,No Deserto
Summer,Medio,buen,Basic,No Deserto
Summer,Medio,muy buen,Basic,No Deserto
Winter,Medio,muy buen,Basic,No Deserto
Fall,Medio,muy buen,Basic,No Deserto
Summer,Medio,buen,Basic,No Deserto
Fall,Medio,buen,Basic,No Deserto
Fall,Medio,buen,Advanced,No Deserto
Summer,Medio,mal,Basic,No Deserto
Winter,Medio,buen,Basic,No Deserto
Summer,Medio,mal,Intermediate,No Deserto
Winter,Medio,mal,Basic,No Deserto
Fall,Medio,mal,Basic,No Deserto
Summer,Medio,buen,Advanced,No Deserto
Winter,Medio,buen,Advanced,No Deserto
Fall,Medio,buen,Advanced,No Deserto
